Date,Clicks,Impressions,CTR,Position
2025-05-29,18,6781,0.27%,9.29
2025-05-28,62,11725,0.53%,8.17
2025-05-27,44,13554,0.32%,7.96
2025-05-26,50,14717,0.34%,7.74
2025-05-25,63,15983,0.39%,7.7
2025-05-24,105,17416,0.6%,7.88
2025-05-23,124,17546,0.71%,7.78
2025-05-22,106,20007,0.53%,7.76
2025-05-21,119,21924,0.54%,7.66
2025-05-20,71,17201,0.41%,7.95
2025-05-19,65,16789,0.39%,7.78
2025-05-18,85,16963,0.5%,7.84
2025-05-17,68,15367,0.44%,8.02
2025-05-16,80,15129,0.53%,7.92
2025-05-15,73,15072,0.48%,7.74
2025-05-14,75,15714,0.48%,7.72
2025-05-13,62,15724,0.39%,7.53
2025-05-12,40,12754,0.31%,7.86
2025-05-11,41,13213,0.31%,7.92
2025-05-10,36,11962,0.3%,8.09
2025-05-09,35,11115,0.31%,8.34
2025-05-08,26,11240,0.23%,8.61
2025-05-07,25,10978,0.23%,8.39
2025-05-06,32,11873,0.27%,8.51
2025-05-05,38,12714,0.3%,8.27
2025-05-04,29,9943,0.29%,8.39
2025-05-03,29,9408,0.31%,8.3
2025-05-02,32,10068,0.32%,8.16
2025-05-01,34,9402,0.36%,8.22
2025-04-30,18,7923,0.23%,8.62
2025-04-29,11,7525,0.15%,8.64
2025-04-28,15,7192,0.21%,8.66
2025-04-27,18,6505,0.28%,8.62
2025-04-26,11,6188,0.18%,8.52
2025-04-25,11,5989,0.18%,8.64
2025-04-24,20,5800,0.34%,8.7
2025-04-23,14,5071,0.28%,8.71
2025-04-22,10,4399,0.23%,9.26
2025-04-21,13,3301,0.39%,9.16
2025-04-20,11,3188,0.35%,9.7
2025-04-19,5,2747,0.18%,10.17
2025-04-18,4,2478,0.16%,10.69
2025-04-17,7,2583,0.27%,9.58
2025-04-16,7,2458,0.28%,9.7
2025-04-15,6,2967,0.2%,9.5
2025-04-14,8,2543,0.31%,9.95
2025-04-13,4,2638,0.15%,9.67
2025-04-12,3,2841,0.11%,9.92
2025-04-11,7,3164,0.22%,9.44
2025-04-10,6,2946,0.2%,9.56
2025-04-09,12,2803,0.43%,9.91
2025-04-08,5,2731,0.18%,9.85
2025-04-07,7,2865,0.24%,10.02
2025-04-06,8,3338,0.24%,9.35
2025-04-05,5,3003,0.17%,9.83
2025-04-04,3,2305,0.13%,10.15
2025-04-03,8,2138,0.37%,10.44
2025-04-02,8,2067,0.39%,10.39
2025-04-01,9,2361,0.38%,10.45
2025-03-31,3,2140,0.14%,10.6
2025-03-30,4,1495,0.27%,11.2
2025-03-29,8,1672,0.48%,11.52
2025-03-28,5,1916,0.26%,11.49
2025-03-27,4,1682,0.24%,10.84
2025-03-26,8,1750,0.46%,10.79
2025-03-25,6,2340,0.26%,10.57
2025-03-24,4,2681,0.15%,10.32
2025-03-23,5,2978,0.17%,12.22
2025-03-22,6,2860,0.21%,11.98
2025-03-21,12,2617,0.46%,10.27
2025-03-20,7,2463,0.28%,10.53
2025-03-19,11,2447,0.45%,10.05
2025-03-18,10,1761,0.57%,10.64
2025-03-17,7,1312,0.53%,10.97
2025-03-16,3,1310,0.23%,10.83
2025-03-15,6,1150,0.52%,11.19
2025-03-14,2,1028,0.19%,12.01
2025-03-13,4,1048,0.38%,12.3
2025-03-12,2,1100,0.18%,11
2025-03-11,2,1163,0.17%,11.66
2025-03-10,7,1260,0.56%,14.34
2025-03-09,4,1109,0.36%,12.04
2025-03-08,1,1491,0.07%,11.96
2025-03-07,1,1437,0.07%,11.04
2025-03-06,4,1464,0.27%,11.48
2025-03-05,4,1774,0.23%,11.05
2025-03-04,6,1738,0.35%,11.1
2025-03-03,4,1808,0.22%,10.47
2025-03-02,5,1804,0.28%,10.86
2025-03-01,4,1664,0.24%,10.58